order_id,date_key,date,driver_id,customer_id,region,order_amount,items_delivered,items_missing,delivery_hour,has_missing,has_missing_int,failure_cost,day_of_week,month,week_number,quarter,semester,period,order_size_tier,amount_tier
c9da15aa-be24-4871-92a3-dfa7746fff69,20230101,2023-01-01,WDID10627,WCID5031,Winter Park,1095.54,10,1,8,True,1,70.8255595,Sunday,2023-01,52,1,H1,Manhã (6–11h),Médio (6–10),> $400
ccacc183-09f8-4fd5-af35-009d18656326,20230101,2023-01-01,WDID10533,WCID5794,Altamonte Springs,659.11,11,1,9,True,1,70.8255595,Sunday,2023-01,52,1,H1,Manhã (6–11h),Grande (11–20),> $400
f4e1d30b-c3d1-413f-99b8-93c0b46d68bf,20230101,2023-01-01,WDID10559,WCID5599,Winter Park,251.45,18,1,10,True,1,70.8255595,Sunday,2023-01,52,1,H1,Manhã (6–11h),Grande (11–20),$250–$400
993d31f4-9358-41f0-a371-0021e55cef5d,20230101,2023-01-01,WDID10622,WCID5005,Altamonte Springs,598.83,12,1,9,True,1,70.8255595,Sunday,2023-01,52,1,H1,Manhã (6–11h),Grande (11–20),> $400
3e0a8f1b-3cd6-4d64-90e3-6b38dc368925,20230101,2023-01-01,WDID10654,WCID5114,Clermont,27.18,3,1,10,True,1,70.8255595,Sunday,2023-01,52,1,H1,Manhã (6–11h),Pequeno (1–5),< $100
d0b8162c-2dfc-4038-93e2-fbe240dba870,20230101,2023-01-01,WDID10666,WCID5857,Winter Park,494.32,5,1,19,True,1,70.8255595,Sunday,2023-01,52,1,H1,Noite (18–23h),Pequeno (1–5),> $400
97fd47af-79b1-4177-b0be-2d26a2f8c288,20230101,2023-01-01,WDID10504,WCID6084,Winter Park,220.13,1,1,16,True,1,70.8255595,Sunday,2023-01,52,1,H1,Tarde (12–17h),Pequeno (1–5),$100–$250
7e8fb589-7a61-43c1-aacb-c30e53dc1acc,20230101,2023-01-01,WDID10562,WCID5428,Sanford,468.53,2,0,8,False,0,0.0,Sunday,2023-01,52,1,H1,Manhã (6–11h),Pequeno (1–5),> $400
cf227256-5702-40f0-9e6e-a8aa231bf842,20230101,2023-01-01,WDID11003,WCID5821,Apopka,336.68,10,0,16,False,0,0.0,Sunday,2023-01,52,1,H1,Tarde (12–17h),Médio (6–10),$250–$400
11b841e4-c021-41eb-9f81-dd90c15d6557,20230101,2023-01-01,WDID10010,WCID5069,Clermont,275.13,14,0,17,False,0,0.0,Sunday,2023-01,52,1,H1,Tarde (12–17h),Grande (11–20),$250–$400
adde430d-480f-40b4-b63c-2ce4b406020a,20230101,2023-01-01,WDID10637,WCID5481,Altamonte Springs,277.4,15,0,7,False,0,0.0,Sunday,2023-01,52,1,H1,Manhã (6–11h),Grande (11–20),$250–$400
9fe3cd7c-7240-4e24-93e8-2196a8076812,20230101,2023-01-01,WDID10719,WCID5693,Winter Park,326.35,11,0,0,False,0,0.0,Sunday,2023-01,52,1,H1,Madrugada (0–5h),Grande (11–20),$250–$400
bae65235-7a70-4d95-9622-7f5d5aadb826,20230101,2023-01-01,WDID10765,WCID6199,Winter Park,123.22,12,0,12,False,0,0.0,Sunday,2023-01,52,1,H1,Tarde (12–17h),Grande (11–20),$100–$250
ff5d63a3-2893-4d2e-82c3-b8071c9353c6,20230101,2023-01-01,WDID10849,WCID6125,Winter Park,172.59,14,0,8,False,0,0.0,Sunday,2023-01,52,1,H1,Manhã (6–11h),Grande (11–20),$100–$250
6e5431c9-2beb-4110-bede-c7fce32a6ca8,20230101,2023-01-01,WDID11001,WCID5675,Altamonte Springs,239.3,16,0,23,False,0,0.0,Sunday,2023-01,52,1,H1,Noite (18–23h),Grande (11–20),$100–$250
c48d53f9-4fa8-4d6b-a906-01a4b5ef5d7b,20230101,2023-01-01,WDID10164,WCID5817,Kissimmee,380.69,1,0,1,False,0,0.0,Sunday,2023-01,52,1,H1,Madrugada (0–5h),Pequeno (1–5),$250–$400
